ARPSPOOFER; 2019-05-10 00:21:40; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:23:24; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:23:24; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:23:24; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:23:24; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:23:24; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:23:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:23:24; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:23:25; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:23:25; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:23:25; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:23:25; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:23:25; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:23:25; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:25:16; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:25:16; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:25:16; WARNING; Used kernel ipv4 forwarding feature.
ARPSPOOFER; 2019-05-10 00:25:16; INFO; Kernel IPv4 forwarding enabled
ARPSPOOFER; 2019-05-10 00:25:16; CRITICAL; IP of gateway not specified! Using default one: 192.168.0.1
ARPSPOOFER; 2019-05-10 00:25:18; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:25:18; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:25:18; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:25:19; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:25:19; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:25:19; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:25:19; DEBUG; Iterating...
ARPSPOOFER; 2019-05-10 00:25:29; INFO; Initializing ARPspoofer...
ARPSPOOFER; 2019-05-10 00:25:29; INFO; Loading config...
ARPSPOOFER; 2019-05-10 00:25:29; WARNING; Used kernel ipv4 forwarding feature.
